桥ID,古桥名称,建造年代,经度,纬度,所在省份,桥型,材质,长度,跨度,保护级别,数据来源,建造朝代,地理区域,桥梁时代,规模分类,故事,
br_a4f4c3fdf47b,八字桥,1256,120.5898,30.0047,浙江,石梁桥,石,40,5,国家级,《绍兴桥梁志》,宋元时期,华东,古代,小型,"八字桥
历史背景：位于浙江绍兴，南宋宝祐四年（1256年）重建。因桥形如八字而得名，是中国现存最早的立交桥式石梁桥。2001年列为全国重点文物保护单位。
建筑特点：
•	三向三桥，主桥东西向，两侧引桥分别向南、北延伸
•	桥长40米，宽3米，主孔跨度5米
•	桥墩用条石砌筑，桥面用石板铺砌
•	桥下可通船只，桥上可通行人",
br_9f856c25c143,观音桥,1014,115.9678,29.5812,江西,单孔石拱桥,石,24.4,10.33,国家级,庐山文物局,宋元时期,华东,古代,小型,"观音桥
历史背景：位于江西庐山栖贤谷，北宋大中祥符七年（1014年）建。因桥头有观音庙而得名，是中国现存最古老的单孔石拱桥之一。1988年列为全国重点文物保护单位。
建筑特点：
•	单孔石拱桥，拱券用107块花岗岩砌成
•	桥长24.4米，宽4.1米，拱高10.33米
•	桥面两侧有石栏，雕刻莲花图案
•	桥身坚固，历经千年仍完好",
br_fbe3c3ddb58e,灞桥,1370,109.0715,34.3012,陕西,多孔石拱桥,石,386,6,省级,《西安府志》,明清时期,西北,古代,大型,"灞桥
历史背景：位于陕西西安，始建于隋开皇三年（583年），历代多次重修。因横跨灞水而得名，是古代长安东出的重要通道，以灞桥折柳送别习俗闻名。2006年列为省级文物保护单位。
建筑特点：
•	多孔石拱桥，现存桥长386.2米，宽7米
•	桥墩用条石砌筑，呈船形
•	桥面用石板铺砌，两侧有石栏
•	桥身平缓，便于车马通行",
br_c5b8c5d8e390,枫桥,1867,120.6014,31.3173,江苏,单孔石拱桥,石,39.6,10,市级,《寒山寺志》,明清时期,华东,近现代,小型,"枫桥
历史背景：位于江苏苏州寒山寺旁，始建于唐代，因张继《枫桥夜泊》诗而闻名。历代多次重修，现存为清同治六年（1867年）重建。1982年列为市级文物保护单位。
建筑特点：
•	单孔石拱桥，桥长39.6米，宽4.20米
•	桥拱用花岗岩砌筑，桥面用石板铺砌
•	桥身古朴，与寒山寺、铁铃关构成完整景观
•	桥名由俞樾题写",
br_88eda75be800,断桥,824,120.1482,30.2561,浙江,单孔石拱桥,石,8.8,6.1,省级,西湖遗产监测,唐宋时期,华东,古代,小型,"断桥
历史背景：位于浙江杭州西湖，始建于唐代，因白蛇传中断桥相会故事而闻名。历代多次重修，现存为1921年重建。1984年列为省级文物保护单位。
建筑特点：
•	单孔石拱桥，桥长8.8米，宽9.1米
•	桥身低平，贴近水面
•	桥面用石板铺砌，两侧有石栏
•	桥东有断桥残雪碑亭",
br_c9c349a0eeb9,永通桥,1189,115.9833,39.7167,河北,敞肩石拱桥,石,32.7,22.5,省级,《赵县志》,宋元时期,华北,古代,小型,"赵县永通桥
永通桥，俗称小石桥，位于河北省石家庄市赵县赵州镇永通西路路北的冶河之上。其建筑的艺术风格和结构形式与安济桥（大石桥）近似，且小于安济桥，故又称小石桥，与安济桥并称“姊妹桥”。始建于唐代宗永泰年间（765年～766年），取永远通济之意而得名，已有1200多年历史，比安济桥晚160余年。
永通桥是一座带腹拱单孔并列券敞肩式石桥，在桥梁“敞肩圆弧拱”的发展上起着承前启后的作用。桥面长34.53米，桥中部宽7.26米，东西两端宽度分别为8.03米和7.97米。主拱券由20道独立的单券并列砌筑而成，主拱跨度23.48米，净矢高5.14米。主拱肩部两端分别伏设两个副拱，副拱券亦由20道独立的单券并列砌筑而成。 因桥两端肩部各有二个小孔，故又称敞肩桥。桥栏板雕刻一为两端雕斗子蜀柱，中间用鸵峰托斗，华板通长无格，保留了宋代以前的手法；一为荷叶墩代斗子蜀柱，华板分两格，属明代艺术风格。在各小券的撞券上都有河神浮雕，北面东端小券墩上雕飞马，西端券面雕鱼。从现存实物看，应为唐、明、清不同时代的作品。
1961年3月4日，永通桥（小石桥）被中华人民共和国国务院公布为第一批全国重点文物保护单位。",
br_ae857973bbd3,万安桥,1090,119.0833,28.95,福建,木拱廊桥,木,98.2,36,国家级,《屏南县志》,宋元时期,华东,古代,中型,"万安桥
历史背景：万安桥位于福建，档案中多记其建于1090，属宋元时期，地处华东一带，为木拱廊桥。据《屏南县志》等资料，可反映当时水陆通行与营造传统。
建筑特点：以木为主要用材，桥长约98.2米，跨度约36米；在现表中多归为中型桥梁，保护层级为国家级，是古代桥梁技术与使用功能的实物例证之一。
文化价值：作为交通与遗产载体，该桥有助于研读地方史、桥型演变与文物保护；参观时请遵守现场规定，勿刻画污损。",
br_c94e0c4e9fdf,垂虹桥,1247,120.65,31.1333,江苏,联拱石桥,石,508,10.2,国家级,《吴江县志》,宋元时期,华东,古代,大型,"垂虹桥
垂虹断桥，始建于宋庆历八年（1048年），为石墩木桥结构，元泰定二年（1325年），改建为连拱石桥，共72孔，桥中建亭，取名“垂虹”。垂虹断桥历经宋、元、明、清，至1967年塌废，前后存在了920年。垂虹断桥遗迹现存东、西两端桥洞16孔（显露在外），桥长约84米。自宋代始建起，垂虹桥被誉为“东吴名胜”“三吴绝景”，数百位历代名人为其吟诗作画，数量达400余首（幅），具有重要的艺术价值。
2019年10月16日，垂虹断桥被中华人民共和国国务院公布为第八批全国重点文物保护单位。
历史沿革：垂虹断桥，始建于宋庆历八年（1048年），桥长千余尺（约309米~329米）木结构，耗资数百万缗。宋治平三年（1066年）重修。宋熙宁三年（1070年），被焚毁。宋绍兴四年（1134年），百姓捐数千缗重修。宋德祐元年（1275年），毁于兵。
元至元十二年（1275年），再建垂虹断桥，“增开八十五洞”。元泰定二年（1325年），重建，六十二孔石拱桥，“桥长一千三百尺（约402米~428米）”。元泰定三年（1326年），重修，“将东长桥拆毁”“四大石狮镇两堍”
明洪武元年（1368年）、永乐二年（1404年），修垂虹断桥，“改砌砖面，翼以层栏”。明成化七年（1471年），重修。“易以青石，危拦穹洞，涣然可观，长一千三百尺（416米）有奇。明成化十七年（1481年），“桥圮其半，屠母赵氏捐白金千余两，重建垂虹断桥。桥长千余尺（320余米），下开七十二洞。”
清嘉靖三十一年（1552年），重修。清康熙五年（1666年），修，“增置石栏”。清康熙五十九年（I720年），桥复圮其半，重建。清嘉庆四年（1799年），重修。以后桥孔日渐淤塞。
至民国三年（1914年），桥“亦且半为陆地，环以庐舍，仅存四十余孔”。为“保存古迹”当地筹资7698元（大洋），重修垂虹桥，并“调动大洞移至东首二丈八尺”，民国四年（1915年），工程竣工。
1957年8月，垂虹断桥被公布为江苏省重点文物保护单位时，有47孔。1967年5月2日晚，垂虹断桥塌，仅剩东西两端10余孔。1995年7月，建垂虹遗址公园时，在桥西端遗址上挖出11孔桥洞，对其中的七孔进行了清理维修，重新铺石桥面，投资16.68万元。
2004年11月，建垂虹景区时，桥东端的九孔桥洞和桥堍、牌坊、汇泽亭等遗迹清理出士。2005年，开始维修桥体，对牌坊、汇泽亭等予以保存现状，并整治周边环境。2005年11月，工程竣工，投资120万元。
保护措施：2006年6月，垂虹断桥被江苏省人民政府公布为省级文物保护单位。
2019年10月16日，垂虹断桥被中华人民共和国国务院公布为第八批全国重点文物保护单位。
",
br_c2df8ee64452,湘子桥,1171,116.6226,23.6685,广东,梁浮结合桥,石/木,518,18,国家级,《潮州府志》,宋元时期,华南,古代,大型,"湘子桥（又名广济桥）
历史背景：始建于南宋乾道七年（1171年），历时57年建成，初为浮桥，后改为石桥。因桥上有24座楼台亭阁，俗称湘子桥。是中国四大古桥之一，2007年修复后作为步行桥开放，2023年列入世界文化遗产预备名单。
建筑特点：
•	梁桥与浮桥结合，东段12孔，西段7孔，中间用18艘梭船连接成浮桥
•	全长518米，桥墩巨大，形态各异，有十八梭船廿四洲之称
•	桥上有24座不同形式的亭台楼阁，集梁桥、拱桥、浮桥于一体
•	中间浮桥可开合，便于船只通行",
br_88fa9687e5b8,龙脑桥,1388,105.3833,29.0167,四川,石梁桥,石,54,12.8,国家级,《泸县志》,明清时期,西南,古代,中型,"龙脑桥
一、历史背景
始建年代与沿革：龙脑桥始建于明代洪武年间（1378-1398年），历时20年建成。关于始建年代，学界主要依据桥体雕刻风格与明代早期石刻（如平武报恩寺、新津观音寺同期石雕）的对比，以及桥头龙脑寺（明洪武十一年建）的关联性推断。需要说明的是，龙脑桥缺乏明确的始建碑记，具体年份存在学术讨论空间，但明代早期建造的结论为学界主流认可。
历史沿革：清乾隆四十三年（1778年），乾隆帝曾下旨钦命永宁道泸州以北九十华里九曲河龙脑桥加以保护，这是该桥最早见于官方文献的记载。1949年初，为方便通船，第十孔桥面升高形成小拱桥。1988年、1990年、2013年进行过多次维修保护。1996年11月20日，龙脑桥被国务院公布为第四批全国重点文物保护单位。2021年9·16泸县地震中，桥体完好无损。
历史地位与文化意义
龙脑桥位于泸州至隆昌的古驿道上，是明清时期川南地区的重要交通要道。作为泸县龙桥群（现存181座）中最具代表性的桥梁，其价值不仅在于交通功能，更在于将桥梁实用性与石刻艺术完美结合，是中国古代以文化桥理念的杰出代表。桥名龙脑源于桥头原有龙脑寺，也因桥墩雕刻龙首而得名。该桥是研究明代桥梁建造技术、石刻艺术、龙文化信仰的重要实物遗存。
二、建筑特点
整体形制与结构
龙脑桥为石墩石梁式平桥，呈南北走向。桥长54米，宽1.9米，高约5.3米，采用12墩13孔结构。桥墩由四层灰沙岩石条垒砌而成，每块条石重约7吨；桥面由30块石板铺成，每块石板长3.6米、宽0.95米、厚0.6米，重约5吨。整桥未使用榫卯衔接或粘接材料，完全依靠构件自重和力学平衡承重，体现了古代工匠对石材特性的精准把握。
核心特征：瑞兽石雕群
龙脑桥最突出的特点是中间8个桥墩上雕刻的瑞兽群像（两端各2个桥墩为素面）。从北至南依次为：麒麟（2座）、青狮（1座）、龙（4座）、白象（1座）、麒麟（1座）。这些瑞兽均用整块巨石雕凿而成，单尊重量达14吨以上，雕刻工艺精湛，形态生动逼真。
雕刻艺术特点：
- 龙雕：四条龙形态各异，最大龙首长2.8米、高2.2米，龙身刻有绳纹状鳞甲，背脊有翅，龙口衔宝珠（重约70千克），宝珠可轻微转动但无法取出。龙眼、龙须、龙角等细节刻画精细，部分龙首顶部刻有王字（阳刻为龙王，阴刻为龙后）
- 麒麟与青狮：麒麟口衔绶带，鬃毛层次分明；青狮作蹲伏状，前爪抓绣球，神态威严
- 白象：象鼻卷曲，长牙上翘，四足卧伏，神态安详
- 雕刻技法：采用圆雕、高浮雕、镂雕等多种技法，瑞兽的肌肉纹理、毛发、鳞甲等细节处理细腻，线条流畅，比例匀称
技术价值
龙脑桥的建筑技术体现了明代石桥建造的高超水平：
- 基础处理：桥墩直接砌筑在河床基岩上，基础稳固
- 结构设计：12墩13孔的布局合理分散荷载，桥墩迎水面略呈尖形，可分散水流冲击力
- 材料运用：选用质地坚硬、耐风化的灰沙岩石材，构件尺寸巨大但加工精准
- 抗震性能：历经多次地震（包括2021年6.0级地震）仍完好无损，证明其结构稳定性
装饰与附属设施
桥面两侧原应有简易栏杆，但现存栏杆为后期修复。桥两端原有碑亭、石阶等附属设施，部分已不存。桥东山坡曾有龙脑寺（已毁），现为重建景观。",
br_86642b39f81a,迎仙桥,1844,120.8765,29.5678,浙江,悬链线石拱桥,石,29,15.6,省级,新昌县文物志,明清时期,华东,近现代,小型,"迎仙桥
迎仙桥横跨浙江省新昌县南明街道桃源村惆怅溪，1997年公布为浙江省文物保护单位 。该桥是国内首次发现的近似悬链线拱古石拱桥，桥长29米，宽4.6米，净跨15.6米，其悬链线拱桥型早于二十世纪六十年代国外同类技术近两个世纪 。桥梁采用乱石干砌法建造 。作为国内最早发现的准悬链线拱桥之一，其发现填补了《中国古桥技术史》的空白 。
桥梁历史可追溯至明成化《新昌县志》记载，清道光甲辰年（1844）由丁天松重建 。2000年曾实施维修加固工程 。桥名源自东汉刘晨、阮肇遇仙的民间传说，俗称奶婆桥 。该桥位于谢灵运开辟的“唐诗之路”咽喉要道，是浙东唐诗之路上的重要桥梁 。2024年，在“东南眉目 诗耀大唐——唐诗之路研学”活动中被作为打卡点 。
历史沿革：该桥在明成化十三年(1477)《新昌县志》已有明确记载（“迎仙桥，在县南三十里，仙桂乡二十一都。”），明万历《新昌县志》亦有载 。始建年代不详。清乾隆四十九年(1784)重建，现桥为清道光二十四年(1844)再建。桥身一侧券脸石上刻有“道光甲辰年大吕敬立 丁天松仝妻俞氏男望斌造”等字样 。
文物保护：迎仙桥于1997年被浙江省人民政府公布为浙江省文物保护单位。 1997年，新昌县交通局曾对桥梁进行小修。2000年，新昌县文物部门主持对桥梁进行加固修葺。 2005年，新昌县文物部门对迎仙桥进行全面修缮，投入维修经费16万元，采取整个拱券、金刚墙不动，外观不变，内部做暗拱加固承载的办法。由于年久失修，保护不善，现桥已有个别拱券石破裂，砌缝出现下开口，致使桥拱微有下垂，两端桥头金刚墙局部鼓出。",
br_12eadd3430ec,霁虹桥,1290,99.1208,25.5639,云南,铁索桥,铁,113,3,国家级,云南交通志,宋元时期,西南,古代,中型,"霁虹桥
历史背景：霁虹桥位于云南，档案中多记其建于1290，属宋元时期，地处西南一带，为铁索桥。据《云南交通志》等资料，可反映当时水陆通行与营造传统。
建筑特点：以铁为主要用材，桥长约113米，跨度约3米；在现表中多归为中型桥梁，保护层级为国家级，是古代桥梁技术与使用功能的实物例证之一。
文化价值：作为交通与遗产载体，该桥有助于研读地方史、桥型演变与文物保护；参观时请遵守现场规定，勿刻画污损。",
br_d941e3181c1e,双龙桥,1839,103.2406,23.6803,云南,联拱石桥,石,148,16,国家级,建水文物局,明清时期,西南,古代,中型,"双龙桥为典型的廊桥建筑，今存双龙桥是一座17孔石拱桥。中间有楼阁及其台座，台座东西长20.00米，南北宽15.00米。 双龙桥承袭了中国桥梁建筑风格的特点，融桥梁建筑科学和造型艺术为一体，凝聚着滇南人民高超的技术和聪明智慧，其建筑规模和艺术价值在国内屈指可数，在中国桥梁史上占有重要地位。
2006年5月25日，双龙桥被中华人民共和国国务院公布为第六批全国重点文物保护单位。
历史沿革：双龙桥始建于清代乾隆年间（1736-1795年），当时只是在泸江上建石桥三孔，后因泸江、塌冲河水泛滥，河床逐渐加宽，三孔小桥独居河中，不能横贯两岸，当地官民又于道光十九年（1839年）续建十四孔，与原建的三孔桥首尾相连，雁齿蝉联、合为一体，故又称“十七孔桥”。桥高9米，初建三孔宽5米，后建十四孔宽3米。
长岛上有一座木结构楼阁，楼阁两侧各有一座亭子。清咸丰六年（1856年），亭与楼阁毁于大火，光绪二十二年（1896年），重建桥上的亭与阁。
建筑格局：双龙桥为典型的廊桥建筑， 今存双龙桥是一座17孔石拱桥。中间有楼阁及其台座，台座东西长20.00米，南北宽15.00米。台座下面有一个大桥孔，拱碹是半圆形纵联分段并列式结构，碹脸外边有拱眉石，拱眉凸出于碹脸，拱眉与侧墙平。楼阁台座将全桥分为两段，楼阁以西有6孔，楼阁以东有10孔，东西两段桥的结构与形式相同，桥堍和桥面上铺砌青石板，全桥是平面，两侧有青石砌成的宇墙式栏杆。桥面宽均为3.50米，西段桥长48.00米，东段桥长80.00米，台座长20.00米，桥梁全长148.00米。侧墙用料石砌筑，上顶有双层仰天石。西桥台是燕翅形，前墙长约3.50米。东桥台是凹字形，前墙长3.50米。桥墩上游端均为尖形，下游端均为方形，拱碹均系半圆形纵联式结构，碹脸外边有拱眉石，拱眉凸出于碹脸，拱眉与侧墙平。跨径6.50米。
桥身用打凿得很平整的约500块石块镶砌而成，两侧垒条石为栏。桥上建有楼阁三座，后于咸丰年间全部毁于战火。光绪二十四年（1898年）又重建三座飞檐式阁楼。尤其中间一楼蔚为壮观，其层垒为三，高约20米，方形三重檐歇山顶，琉璃黄瓦，底层为桥面通道。顶层建小楼一楹三间，呈“山”字形排列，顶檐分解为“品’字状的三个歇山小顶。二层顺势在四角隆起四个小顶。整座楼阁架层叠梁、飞檐交错、雕梁画栋、新颖别致。此阁楼楼中有楼、檐外有檐、雕琢精美。桥西端楼亭为二层，重檐攒尖顶，与中间高楼相辉映。东端楼亭已毁.",
br_0b040379b3d8,青龙桥,1400,116.2083,40.3583,北京,石拱桥,石,25,7,市级,延庆文物档案,明清时期,华北,古代,小型,"青龙桥
历史背景：青龙桥位于北京，档案中多记其建于1400，属明清时期，地处华北一带，为石拱桥。据《延庆文物档案》等资料，可反映当时水陆通行与营造传统。
建筑特点：以石为主要用材，桥长约25米，跨度约7米；在现表中多归为小型桥梁，保护层级为市级，是古代桥梁技术与使用功能的实物例证之一。
文化价值：作为交通与遗产载体，该桥有助于研读地方史、桥型演变与文物保护；参观时请遵守现场规定，勿刻画污损。",
br_02e30d68ed4f,普济桥,1267,112.8667,34.9667,山西,石拱桥,石,27,8,国家级,山西文物局,宋元时期,华北,古代,小型,"都江堰南桥
都江堰南桥是南街与复兴街之间的一座廊式古桥，位于都江堰宝瓶口下侧的岷江内江上。原名为“普济桥”，被誉为“水上画楼”、“雄居江源第一桥”、“览胜台”。
清光绪四年（1878），县令陆葆德用丁宝桢大修都江堰的结余银两设计施工，建成木桥，名“普济桥”，曾多次损毁。1925年重建，桥面加宽。1933年，毗河战争爆发，木桥中孔被拆毁，战后修复时，增建了寨门。1958年，岷江发生暴洪，漂木堵桥洞，撞毁桥身，由省森工局岷江水运处重建，改木桥桩为混凝土桥墩，正式更名为南桥。 [3]1979年改建，加高了桥身和通道，桥头增建了桥亭、石阶、花圃，桥身雕梁画栋，桥廊增饰诗画匾联。1982年，国务院将南桥划入都江堰文物保护区范围。 [2]2006年冬，南桥进行了古建筑维修改造。2008年6月初，都江堰市建设局对南桥的安全鉴定结果为桥廊上部评为IV类建筑，处于危险状态，建议实施拆除及重建。2009年改建完毕，混凝土柱子全部更换成厚度达1.2厘米的钢管，并在4个桥墩的上、下游方向新修建了8个喷水大龙头。
南桥，共5孔，长54米，宽12米，3层重叠翘角飞檐，上盖琉璃瓦。两桥头重檐彩塑珍禽异兽和各种民间传说戏剧人物。两端桥亭的圆柱上，有书法、楹联。左右两廊内壁上还有精工绘制的山水风景和神话传说壁画，以及书法作品等共34幅。屋顶还有《海瑞罢官》《水漫金山》《孙悟空三打白骨精》等民间的彩塑。南桥集实用性和艺术性于一体，富有鲜明的民族风格和浓郁的地方色彩。
",
br_97e7108713d6,景德桥,1189,112.8333,35.3333,山西,石拱桥,石,33,16,省级,晋城文物志,宋元时期,华北,古代,小型,"景德桥
历史背景：景德桥位于山西，档案中多记其建于1189，属宋元时期，地处华北一带，为石拱桥。据《晋城文物志》等资料，可反映当时水陆通行与营造传统。
建筑特点：以石为主要用材，桥长约33米，跨度约16米；在现表中多归为小型桥梁，保护层级为省级，是古代桥梁技术与使用功能的实物例证之一。
文化价值：作为交通与遗产载体，该桥有助于研读地方史、桥型演变与文物保护；参观时请遵守现场规定，勿刻画污损。",
br_a627ee29410d,通仙桥,1173,118.6167,24.9167,福建,石梁桥,石,68,5,省级,永春县志,宋元时期,华东,古代,小型,"通仙桥
历史背景：通仙桥位于福建，档案中多记其建于1173，属宋元时期，地处华东一带，为石梁桥。据《永春县志》等资料，可反映当时水陆通行与营造传统。
建筑特点：以石为主要用材，桥长约68米，跨度约5米；在现表中多归为小型桥梁，保护层级为省级，是古代桥梁技术与使用功能的实物例证之一。
文化价值：作为交通与遗产载体，该桥有助于研读地方史、桥型演变与文物保护；参观时请遵守现场规定，勿刻画污损。",
br_0a5e937d970a,东关桥,1145,118.3667,25.3167,福建,石梁廊桥,石/木,65,6,省级,泉州文物档案,宋元时期,华东,古代,小型,"东关桥
历史背景：东关桥位于福建，档案中多记其建于1145，属宋元时期，地处华东一带，为石梁廊桥。据《泉州文物档案》等资料，可反映当时水陆通行与营造传统。
建筑特点：以石/木为主要用材，桥长约65米，跨度约6米；在现表中多归为小型桥梁，保护层级为省级，是古代桥梁技术与使用功能的实物例证之一。
文化价值：作为交通与遗产载体，该桥有助于研读地方史、桥型演变与文物保护；参观时请遵守现场规定，勿刻画污损。",
br_f88990500a7c,回龙桥,1810,110.3333,27.65,湖南,石拱桥,石,36,12,省级,怀化文物局,明清时期,华中,古代,小型,"回龙桥
历史背景：回龙桥位于湖南，档案中多记其建于1810，属明清时期，地处华中一带，为石拱桥。据《怀化文物局》等资料，可反映当时水陆通行与营造传统。
建筑特点：以石为主要用材，桥长约36米，跨度约12米；在现表中多归为小型桥梁，保护层级为省级，是古代桥梁技术与使用功能的实物例证之一。
文化价值：作为交通与遗产载体，该桥有助于研读地方史、桥型演变与文物保护；参观时请遵守现场规定，勿刻画污损。",
br_d36f3e579d35,彩虹桥,1120,117.9667,29.2667,江西,木廊桥,木,140,7,省级,婺源文物志,宋元时期,华东,古代,中型,"婺源彩虹桥
婺源有一种颇有特色的桥——廊桥，所谓廊桥就是一种带顶的桥，这种桥不仅造型优美，最关键的是，它可在雨天里供行人歇脚。
宋代建造的古桥——彩虹桥是婺源廊桥的代表作。这座桥取唐诗“两水夹明镜，双桥落彩虹”的意思取名。桥长140米，桥面宽3米多，4墩5孔，由11座廊亭组成，廊亭中有石桌石凳。彩虹桥周围景色优美，青山如黛，碧水澄清，坐在这里稍作休憩，浏览四周风光，会让人深深体验到婺源之美。",
